birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1988,"Thu, 20 Oct 2016 08:23:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,897,"$200,000 through $249,999",Married,897,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1988,"Thu, 20 Oct 2016 11:01:07 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,910,"$50,000 through $74,999","Single, but casually dating",910,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1988,"Thu, 26 Oct 2017 15:21:42 -0500",M.B.A.,Working part-time,Hispanic or Latino,Female,1400,"$12,000 through $15,999",Single,1400,Just surfing the web,Other or Unknown,Canada,PRE
1988,"Fri, 16 Sep 2016 08:11:14 -0500",Master's Degree,Looking for work,Not Hispanic or Latino,Female,647,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",647,News story,White/European origin,United States,PRE
1988,"Fri, 16 Sep 2016 13:34:30 -0500",Some Graduate School,Looking for work,Not Hispanic or Latino,Male,679,"Less than $5,000",Single,679,News story,Other or Unknown,New Zealand,PRE
1988,"Mon, 19 Sep 2016 09:11:39 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,742,"$100,000 through $149,999",Married,742,News story,White/European origin,United States,PRE
1989,"Mon, 02 Apr 2018 22:55:10 -0500",Some College,Student,Hispanic or Latino,Female,1624,"$5,000 through $11,999","Single, but casually dating",1624,Planned search for information related to this topic,Other or Unknown,United States,PRE
1989,"Thu, 05 Apr 2018 00:41:46 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1626,Prefer not to answer,Divorced,1626,Planned search for information related to this topic,White/European origin,New Zealand,PRE
1989,"Thu, 13 Apr 2017 21:39:53 -0500",M.B.A.,Student,Hispanic or Latino,Female,1180,"$12,000 through $15,999",Single,1180,"Link from blog, chat, or discussion thread",White/European origin,Brazil,PRE
1989,"Wed, 19 Apr 2017 00:15:36 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1188,"$50,000 through $74,999",Single,1188,Planned search for this topic in particular,White/European origin,United States,PRE
1989,"Wed, 24 Aug 2016 11:24:15 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,575,"$25,000 through $34,999",Single,575,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Wed, 24 Aug 2016 13:29:45 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,582,"$35,000 through $49,999",Single,582,Just surfing the web,White/European origin,United States,PRE
1989,"Wed, 24 Aug 2016 18:30:18 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,565,"$16,000 through $24,999",Single,565,"Recommendation of friend, family , acquaintance, or colleague",Black/African origin,United States,PRE
1989,"Wed, 24 Aug 2016 21:36:05 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,577,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",577,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Tue, 30 Aug 2016 17:41:03 -0500",Some Graduate School,Working full-time,Hispanic or Latino,Female,606,"$35,000 through $49,999",Other,606,Recommendation of employer,Other or Unknown,United States,PRE
1989,"Thu, 07 Dec 2017 09:27:07 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1445,"$50,000 through $74,999",Married,1445,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Mon, 10 Dec 2018 06:50:31 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1944,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1944,Facebook post,White/European origin,United Kingdom,PRE
1989,"Mon, 19 Dec 2016 09:59:40 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1052,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1052,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1989,"Wed, 27 Dec 2017 18:21:07 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1463,Don't know,Single,1463,Other,White/European origin,United States,PRE
1989,"Wed, 01 Feb 2017 14:57:29 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1091,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",1091,Planned search for information related to this topic,White/European origin,United States,PRE
1989,"Sat, 04 Feb 2017 00:22:19 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1094,"$25,000 through $34,999","Single, but currently engaged to be married",1094,"Recommendation of friend, family , acquaintance, or colleague",East Asian,China,PRE
1989,"Thu, 16 Feb 2017 19:55:38 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1113,"$16,000 through $24,999",Single,1113,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Wed, 03 Jan 2018 21:15:07 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1471,"$50,000 through $74,999",Single,1471,Other,White/European origin,United States,PRE
1989,"Fri, 13 Jan 2017 15:02:08 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1071,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1071,Advertisement from other sources,White/European origin,United States,PRE
1989,"Wed, 25 Jan 2017 19:07:40 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1083,"$50,000 through $74,999","Single, but casually dating",1083,Other,White/European origin,United States,PRE
1989,"Sun, 29 Jan 2017 19:44:14 -0500",J.D.,Student,Not Hispanic or Latino,Male,1088,"$50,000 through $74,999",Married,1088,Recommendation of teacher,White/European origin,United States,PRE
1989,"Thu, 07 Jul 2016 00:08:27 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,500,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",500,Just surfing the web,White/European origin,Australia,PRE
1989,"Thu, 21 Jul 2016 13:29:07 -0500",Some Graduate School,Student,Not Hispanic or Latino,Male,522,"Less than $5,000",Single,522,Craigslist Ad,White/European origin,United States,PRE
1989,"Thu, 27 Jul 2017 11:46:52 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1275,"$50,000 through $74,999",Married,1275,Facebook post,White/European origin,United States,PRE
1989,"Mon, 04 Jun 2018 18:48:53 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1149,"$150,000 through $199,999",Married,1149,Planned search for information related to this topic,White/European origin,United States,PRE
1989,"Mon, 20 Jun 2016 16:34:07 -0500",Master's Degree,Working full-time,Unknown,Female,456,"$16,000 through $24,999","Single, but casually dating",456,Recommendation of teacher,White/European origin,Bulgaria,PRE
1989,"Fri, 16 Mar 2018 10:14:04 -0500",Prefer not to answer,Student,Not Hispanic or Latino,Male,1602,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",1602,Other,White/European origin,Germany,PRE
1989,"Wed, 29 Mar 2017 10:39:53 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1160,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1160,Facebook post,East Asian,United States,PRE
1989,"Thu, 03 May 2018 06:54:34 -0500",High School Graduate,Working part-time,Hispanic or Latino,Male,1664,Prefer not to answer,Prefer not to answer,1664,Facebook post,White/European origin,Spain,PRE
1989,"Thu, 03 May 2018 09:08:54 -0500",Junior High,Prefer not to answer,Hispanic or Latino,Male,1665,Prefer not to answer,Prefer not to answer,1665,Facebook post,White/European origin,Spain,PRE
1989,"Thu, 10 May 2018 11:52:46 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1673,"$100,000 through $149,999",Married,1673,Planned search for information related to this topic,White/European origin,United States,PRE
1989,"Thu, 10 May 2018 13:12:11 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1674,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",1674,Recommendation of teacher,White/European origin,United States,PRE
1989,"Thu, 11 May 2017 02:25:40 -0500",Bachelor's Degree,Working full-time,Unknown,Male,1196,"$50,000 through $74,999","Single, but currently engaged to be married",1196,Facebook post,South Asian,Nepal,PRE
1989,"Thu, 12 May 2016 22:07:29 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,10,"$50,000 through $74,999","Single, but currently engaged to be married",10,Link from education site,White/European origin,United States,PRE
1989,"Thu, 12 May 2016 22:27:21 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,11,"$35,000 through $49,999",Single,11,Planned search for information related to this topic,White/European origin,United States,PRE
1989,"Tue, 22 May 2018 01:43:02 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Female,1682,"$200,000 through $249,999",Married,1682,Other,White/European origin,Turkey,PRE
1989,"Tue, 01 Nov 2016 14:27:50 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,972,"$50,000 through $74,999","Single, but currently engaged to be married",972,Other,South Asian,Canada,PRE
1989,"Thu, 01 Nov 2018 23:09:13 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1907,"$12,000 through $15,999",Married,1907,Link from education site,Other or Unknown,Egypt,PRE
1989,"Sun, 06 Nov 2016 10:58:05 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,982,"Less than $5,000","Single, but casually dating",982,Just surfing the web,White/European origin,France,PRE
1989,"Fri, 16 Nov 2018 12:43:04 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1919,"$35,000 through $49,999","Single, but casually dating",1919,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1989,"Mon, 01 Oct 2018 15:53:16 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1857,"$75,000 through $99,999",Married,1857,News story,White/European origin,United States,PRE
1989,"Sat, 06 Oct 2018 13:42:25 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,1866,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",1866,Planned search for this topic in particular,White/European origin,United Kingdom,PRE
1989,"Wed, 19 Oct 2016 13:59:11 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,872,"$50,000 through $74,999","Single, but currently engaged to be married",872,Facebook post,East Asian,United States,PRE
1989,"Thu, 20 Oct 2016 14:20:33 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,909,"$100,000 through $149,999",Married,909,News story,White/European origin,United States,PRE
1989,"Fri, 21 Oct 2016 22:07:26 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,931,"$35,000 through $49,999","Single, but casually dating",931,Facebook post,White/European origin,United States,PRE
1989,"Wed, 26 Oct 2016 15:07:27 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,953,"$50,000 through $74,999",Married,953,News story,East Asian,United States,PRE
1989,"Fri, 02 Sep 2016 22:56:25 -0500",Some College,Student,Not Hispanic or Latino,Male,612,"$5,000 through $11,999","Single, but casually dating",612,Link from education site,White/European origin,United States,PRE
1989,"Wed, 14 Sep 2016 12:04:19 -0500",Some College,Unemployed or laid off,Not Hispanic or Latino,Male,626,"$5,000 through $11,999",Single,626,Craigslist Ad,White/European origin,United States,PRE
1989,"Fri, 16 Sep 2016 09:05:19 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,652,"$50,000 through $74,999",Married,652,News story,White/European origin,United States,PRE
1989,"Sat, 17 Sep 2016 11:43:42 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,710,"$12,000 through $15,999",Single,710,News story,White/European origin,United States,PRE
1989,"Mon, 19 Sep 2016 10:19:13 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,745,"$25,000 through $34,999",Single,745,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Wed, 21 Sep 2016 13:16:37 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,768,"$50,000 through $74,999",Married,768,Facebook post,White/European origin,United States,PRE
1989,"Sun, 24 Sep 2017 19:17:54 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1362,"$35,000 through $49,999","Single, but casually dating",1362,Link from education site,White/European origin,United States,PRE
1989,"Tue, 26 Sep 2017 21:09:03 -0500",Some College,Looking for work,Not Hispanic or Latino,Male,1370,"$25,000 through $34,999","Single, but casually dating",1370,Link from education site,White/European origin,United States,PRE
1990,"Wed, 05 Apr 2017 20:57:49 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1169,"$100,000 through $149,999",Married,1169,Planned search for information related to this topic,White/European origin,United States,PRE
1990,"Thu, 06 Apr 2017 11:41:22 -0500",Master's Degree,Student,Unknown,Male,1171,Don't know,"Single, but casually dating",1171,Advertisement from other sources,White/European origin,Portugal,PRE
1990,"Tue, 11 Apr 2017 15:50:20 -0500",M.B.A.,Student,Not Hispanic or Latino,Male,1176,"Less than $5,000",Single,1176,Link from education site,South Asian,India,PRE
1990,"Sat, 21 Apr 2018 08:07:19 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Male,1652,"$50,000 through $74,999",Single,1652,Recommendation of teacher,White/European origin,Denmark,PRE
1990,"Fri, 04 Aug 2017 13:46:23 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1316,Prefer not to answer,Single,1316,Other,East Asian,United States,PRE
1990,"Mon, 07 Aug 2017 08:02:54 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Other,1320,"$5,000 through $11,999","Single, but casually dating",1320,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
